Participant,60% MAS - 0% LOAD,60% MAS - 10% LOAD,60% MAS - 20% LOAD,80% MAS - 0% LOAD,80% MAS - 10% LOAD,80% MAS - 20% LOAD,100% MAS - 0% LOAD,100% MAS - 10% LOAD,100% MAS - 20% LOAD
1,0.154755428,0.174535259,0.17360536,0.114252386,0.132113848,0.135351898,0.090207232,0.097670847,0.102571943
2,0.208430328,0.227034396,0.231274436,0.119562444,0.118034291,0.134545558,0.072549214,0.074953432,0.084328513
3,0.126534952,0.14785416,0.147847117,0.110524564,0.111253151,0.106142246,0.067254149,0.067837801,0.071928967
4,0.154752103,0.160030452,0.174520543,0.099769911,0.090871517,0.104005911,0.064985333,0.070754906,0.073725003
5,0.153877667,0.160024816,0.174522309,0.088226907,0.100462204,0.093568968,0.061091253,0.066687206,0.072533279
6,0.101859816,0.092870405,0.11724616,0.103994098,0.086242495,0.08688623,0.054688095,0.055204266,0.058375011
7,0.12890539,0.131305994,0.14195569,0.097671727,0.103280212,0.086238358,0.064423764,0.070751159,0.076762017
8,0.076821737,0.039820431,0.071933501,0.058394412,0.055734169,0.088903193,0.039833078,0.056275289,0.039823804
9,0.104718193,0.118781358,0.121079835,0.079249166,0.106872387,0.123396874,0.068997496,0.075543186,0.083663369
10,0.117255327,0.144468981,0.180117177,0.086909488,0.109796502,0.11724809,0.065551502,0.075546283,0.07861981
11,0.115003172,0.12575136,0.159131653,0.089547914,0.101872406,0.09629538,0.06275368,0.101895339,0.074943019
12,0.128126584,0.167199604,0.147860119,0.114236671,0.126534952,0.127326006,0.085597856,0.091527582,0.091523746
13,0.13535449,0.151279638,0.156496701,0.121077384,0.127317459,0.15127635,0.101855769,0.109045257,0.106860873
14,0.118032355,0.168117408,0.186762278,0.103303304,0.118029451,0.125768347,0.064437709,0.10836429,0.078011061
15,0.149568262,0.168118563,0.197447686,0.153012323,0.159137835,0.166284312,0.101869259,0.11126537,0.112742579
16,0.147019991,0.174524663,0.136986927,0.115737244,0.095599761,0.131304973,0.08303049,0.084958099,0.084310105
17,0.148710248,0.141121416,0.16629293,0.076165961,0.08691198,0.110532527,0.047209524,0.064422334,0.101889493
18,0.142792956,0.16719269,0.147002164,0.138631248,0.14028749,0.134536772,0.097673048,0.107599023,0.117251467
19,0.160041725,0.175448755,0.164487549,0.114996005,0.129706344,0.140284852,0.10257465,0.096976849,0.10832673
20,0.143651372,0.165396744,0.185809426,0.125761353,0.129712941,0.137808385,0.091537386,0.096291008,0.098360691
21,0.163588269,0.14194932,0.158254441,0.149560633,0.128906402,0.143623071,0.109053166,0.114981195,0.099743213
22,0.118010575,0.141117182,0.12890539,0.089532316,0.088859094,0.095590613,0.064410178,0.067826793,0.071321539
23,0.105439768,0.118019287,0.141111889,0.081765494,0.082399609,0.092882427,0.055221147,0.077393313,0.058384201
24,0.124199918,0.14113359,0.160029325,0.120321655,0.117252914,0.143625207,0.08430356,0.088878834,0.099042765
25,0.123401328,0.143626809,0.132914934,0.103288815,0.109785765,0.11574012,0.076153909,0.077377128,0.079852365
26,0.103995461,0.101154202,0.119535652,0.113494566,0.097666444,0.099045425,0.062187105,0.063292698,0.067834865
