Participant,60% MAS - 0% LOAD,60% MAS - 10% LOAD,60% MAS - 20% LOAD,80% MAS - 0% LOAD,80% MAS - 10% LOAD,80% MAS - 20% LOAD,100% MAS - 0% LOAD,100% MAS - 10% LOAD,100% MAS - 20% LOAD
1,0.25253929,0.285659416,0.284100881,0.245030109,0.285359499,0.292742026,0.254757593,0.27747613,0.292573002
2,0.344502319,0.376428015,0.383738266,0.258526098,0.255065876,0.292744904,0.203653069,0.210786192,0.238861885
3,0.241075055,0.283265883,0.28325884,0.295612383,0.297725789,0.283068247,0.242178516,0.244429129,0.260492167
4,0.322733846,0.334398082,0.366725905,0.295455771,0.267041749,0.309191965,0.264590522,0.290811406,0.304568098
5,0.299565229,0.312093063,0.341853985,0.236930863,0.272095832,0.252196756,0.223227894,0.245426879,0.269001713
6,0.189398796,0.172302642,0.21886615,0.270715138,0.221875704,0.223638542,0.188930681,0.190837475,0.202546473
7,0.22490539,0.229186696,0.248233146,0.229378482,0.24316518,0.201553705,0.200437283,0.221294113,0.241333455
8,0.132250606,0.06817179,0.123779003,0.134088019,0.127865934,0.206651306,0.120675557,0.172630439,0.120666283
9,0.176010788,0.200089377,0.2040377,0.176501271,0.240712182,0.279908159,0.2040658,0.224595224,0.250397574
10,0.205880297,0.25511781,0.320600955,0.205803527,0.263225763,0.282296635,0.207646644,0.241788299,0.252454689
11,0.211705955,0.232028815,0.295785741,0.226202002,0.259049134,0.244127654,0.213467087,0.361632226,0.258113144
12,0.223504379,0.293703101,0.258827911,0.270295087,0.301112244,0.303106036,0.271198538,0.291554683,0.291550847
13,0.219159384,0.245499269,0.254153654,0.258458084,0.272434058,0.326795555,0.287610802,0.309694026,0.302956498
14,0.233632562,0.338374167,0.378471089,0.291312177,0.337133701,0.361787468,0.246991785,0.449081751,0.305451809
15,0.243775187,0.274757125,0.324159631,0.33314822,0.347403106,0.364150334,0.29013453,0.319392,0.324052954
16,0.231012867,0.275102347,0.215014824,0.235501461,0.193385344,0.268432284,0.218356332,0.223673835,0.221890093
17,0.287499357,0.272251072,0.32310732,0.201524847,0.231552947,0.299282641,0.168278866,0.234390388,0.390669256
18,0.236541653,0.278096062,0.243688484,0.308035409,0.31195535,0.298370744,0.286382826,0.318439628,0.350315068
19,0.258734573,0.284268799,0.266098159,0.243161876,0.275760224,0.299449173,0.287081074,0.270274853,0.304530381
20,0.237560798,0.274381685,0.309170738,0.276304306,0.28542293,0.304190268,0.264824071,0.279557943,0.286019719
21,0.25059724,0.216946116,0.242287177,0.29579937,0.25338576,0.283545768,0.277838953,0.294021334,0.252713433
22,0.218412951,0.262696243,0.239224038,0.228035759,0.226246295,0.244403801,0.221882708,0.234602747,0.247765643
23,0.229104858,0.257739893,0.311191003,0.257483654,0.259642654,0.295787613,0.241804543,0.353724373,0.257117893
24,0.196978822,0.224298928,0.25493145,0.249524369,0.24293314,0.300216218,0.226785628,0.239773013,0.269023912
25,0.224267274,0.262216263,0.242073017,0.258072795,0.275367248,0.291330613,0.257224626,0.261725646,0.270879286
26,0.189712874,0.18441485,0.218839236,0.288732672,0.246069596,0.249767417,0.209726699,0.213723556,0.230201258
