Participant,60% MAS - 0% LOAD,60% MAS - 10% LOAD,60% MAS - 20% LOAD,80% MAS - 0% LOAD,80% MAS - 10% LOAD,80% MAS - 20% LOAD,100% MAS - 0% LOAD,100% MAS - 10% LOAD,100% MAS - 20% LOAD
1,0.355,0.377,0.376,0.305,0.328,0.332,0.271,0.282,0.289
2,0.412,0.43,0.434,0.312,0.31,0.331,0.243,0.247,0.262
3,0.321,0.347,0.347,0.3,0.301,0.294,0.234,0.235,0.242
4,0.355,0.361,0.377,0.285,0.272,0.291,0.23,0.24,0.245
5,0.354,0.361,0.377,0.268,0.286,0.276,0.223,0.233,0.243
6,0.288,0.275,0.309,0.291,0.265,0.266,0.211,0.212,0.218
7,0.324,0.327,0.34,0.282,0.29,0.265,0.229,0.24,0.25
8,0.25,0.18,0.242,0.218,0.213,0.269,0.18,0.214,0.18
9,0.292,0.311,0.314,0.254,0.295,0.317,0.237,0.248,0.261
10,0.309,0.343,0.383,0.266,0.299,0.309,0.231,0.248,0.253
11,0.306,0.32,0.36,0.27,0.288,0.28,0.226,0.288,0.247
12,0.323,0.369,0.347,0.305,0.321,0.322,0.264,0.273,0.273
13,0.332,0.351,0.357,0.314,0.322,0.351,0.288,0.298,0.295
14,0.31,0.37,0.39,0.29,0.31,0.32,0.229,0.297,0.252
15,0.349,0.37,0.401,0.353,0.36,0.368,0.288,0.301,0.303
16,0.346,0.377,0.334,0.307,0.279,0.327,0.26,0.263,0.262
17,0.348,0.339,0.368,0.249,0.266,0.3,0.196,0.229,0.288
18,0.341,0.369,0.346,0.336,0.338,0.331,0.282,0.296,0.309
19,0.361,0.378,0.366,0.306,0.325,0.338,0.289,0.281,0.297
20,0.342,0.367,0.389,0.32,0.325,0.335,0.273,0.28,0.283
21,0.365,0.34,0.359,0.349,0.324,0.342,0.298,0.306,0.285
22,0.31,0.339,0.324,0.27,0.269,0.279,0.229,0.235,0.241
23,0.293,0.31,0.339,0.258,0.259,0.275,0.212,0.251,0.218
24,0.318,0.339,0.361,0.313,0.309,0.342,0.262,0.269,0.284
25,0.317,0.342,0.329,0.29,0.299,0.307,0.249,0.251,0.255
26,0.291,0.287,0.312,0.304,0.282,0.284,0.225,0.227,0.235
