Participant,60% MAS - 0% LOAD,60% MAS - 10% LOAD,60% MAS - 20% LOAD,80% MAS - 0% LOAD,80% MAS - 10% LOAD,80% MAS - 20% LOAD,100% MAS - 0% LOAD,100% MAS - 10% LOAD,100% MAS - 20% LOAD
1,0.037,0.047,0.038,0.074,0.041,0.034,0.084,0.069,0.053
2,0.026,0.018,0.013,0.087,0.086,0.049,0.127,0.119,0.114
3,0.04,0.027,0.014,0.046,0.026,0.033,0.066,0.087,0.062
4,0.031,0.037,0.022,0.092,0.078,0.074,0.095,0.088,0.067
5,0.024,0.027,0.025,0.097,0.072,0.091,0.096,0.084,0.085
6,0.045,0.04,0.028,0.048,0.047,0.027,0.075,0.065,0.072
7,0.029,0.034,0.039,0.071,0.047,0.037,0.101,0.078,0.061
8,0.214,0.14,0.074,0.129,0.089,0.137,0.185,0.139,0.152
9,0.066,0.054,0.046,0.09,0.048,0.031,0.088,0.072,0.058
10,0.047,0.034,0.018,0.083,0.062,0.032,0.095,0.08,0.073
11,0.075,0.047,0.013,0.096,0.073,0.08,0.119,0.124,0.092
12,0.06,0.034,0.038,0.041,0.04,0.043,0.059,0.047,0.038
13,0.039,0.022,0.024,0.041,0.026,0.016,0.036,0.023,0.023
14,0.082,0.052,0.02,0.098,0.076,0.081,0.14,0.13,0.102
15,0.036,0.054,0.023,0.029,0.024,0.016,0.066,0.052,0.039
16,0.058,0.029,0.033,0.036,0.059,0.032,0.075,0.077,0.069
17,0.032,0.038,0.031,0.104,0.089,0.063,0.137,0.097,0.111
18,0.041,0.022,0.025,0.031,0.033,0.032,0.074,0.05,0.039
19,0.057,0.024,0.026,0.06,0.037,0.028,0.059,0.063,0.049
20,0.078,0.042,0.026,0.067,0.05,0.033,0.07,0.07,0.06
21,0.023,0.027,0.023,0.022,0.031,0.025,0.04,0.029,0.032
22,0.037,0.03,0.029,0.059,0.032,0.038,0.063,0.057,0.024
23,0.073,0.055,0.02,0.093,0.091,0.068,0.116,0.102,0.099
24,0.078,0.061,0.035,0.07,0.042,0.029,0.053,0.079,0.028
25,0.04,0.032,0.03,0.066,0.039,0.042,0.073,0.0607,0.035
26,0.051,0.046,0.032,0.053,0.059,0.034,0.083,0.07,0.079
