Participant,60% MAS - 0% LOAD,60% MAS - 10% LOAD,60% MAS - 20% LOAD,80% MAS - 0% LOAD,80% MAS - 10% LOAD,80% MAS - 20% LOAD,100% MAS - 0% LOAD,100% MAS - 10% LOAD,100% MAS - 20% LOAD
1,1.379963033,1.405510988,1.376012043,1.552920093,1.405925348,1.377693915,1.637075846,1.555491875,1.478897252
2,1.634919298,1.602245218,1.583934504,1.966698232,1.964504002,1.765529704,2.341611683,2.27878608,2.207018529
3,1.098703004,1.052980357,1.016379436,1.126764061,1.061351894,1.086622178,1.252516742,1.338647255,1.22725938
4,1.474451556,1.49502146,1.435169189,1.79377533,1.74490062,1.700871218,1.916139314,1.853250639,1.726871676
5,1.380509448,1.389553809,1.378591347,1.760795484,1.618332809,1.71912647,1.84942475,1.758952803,1.745092353
6,1.159902859,1.149073299,1.094060389,1.168628793,1.181078036,1.104983662,1.359732415,1.310731634,1.334477874
7,1.472374113,1.491928214,1.506429358,1.691663874,1.570436501,1.54010222,1.947452777,1.790623814,1.681159264
8,2.199344169,2.106651503,1.547344234,1.886202019,1.680128751,1.788500137,2.40289937,1.954682192,2.185650934
9,1.522734198,1.457660555,1.423956686,1.682087766,1.444095885,1.36346473,1.703173696,1.602589245,1.518008146
10,1.187699355,1.133084327,1.079345787,1.352567016,1.244660811,1.137655843,1.454858053,1.363443561,1.328348657
11,1.249031589,1.150498241,1.039384423,1.359838066,1.257432228,1.289776152,1.53137139,1.435075008,1.376805582
12,1.607932481,1.480983557,1.504536788,1.538324001,1.525013633,1.537122747,1.659090789,1.589493982,1.544789464
13,1.465393533,1.393542313,1.399507416,1.482576628,1.417234829,1.371126082,1.475268152,1.412561005,1.413590274
14,1.291893717,1.165233977,1.074042984,1.366898102,1.272119833,1.280255963,1.646240557,1.468837794,1.435175904
15,1.42621877,1.481545446,1.367012007,1.399070189,1.379048591,1.349069274,1.589138025,1.516208947,1.459265526
16,1.241490045,1.145045274,1.168308597,1.187937849,1.288102646,1.167305874,1.369964881,1.374551904,1.343274213
17,1.669186676,1.699973724,1.657393509,2.167084845,2.040080351,1.849634541,2.597100278,2.176119168,2.117780595
18,1.432768289,1.355243609,1.371402029,1.3969915,1.403861249,1.402638024,1.61461085,1.495035016,1.440415352
19,1.789612058,1.643705736,1.655368928,1.848627786,1.721531711,1.673609771,1.861106469,1.892090652,1.800567749
20,1.903750584,1.727603634,1.653809036,1.874769381,1.788688735,1.702902868,1.94768329,1.93774613,1.878860559
21,1.26293827,1.282420376,1.264189494,1.26296625,1.30174706,1.274920841,1.347546309,1.300668562,1.321471085
22,1.207409825,1.174122992,1.175213089,1.314374299,1.206982963,1.225580898,1.375416701,1.340299679,1.186084842
23,1.457129763,1.373459743,1.235320118,1.586982634,1.576351427,1.454943706,1.804773671,1.640535935,1.696240907
24,1.515947083,1.436402886,1.335377209,1.489602567,1.38281669,1.320577153,1.463609562,1.57486358,1.337372011
25,1.249482951,1.213296311,1.210653694,1.361988313,1.254200278,1.261271064,1.434755524,1.377794547,1.261767098
26,1.251411233,1.235461649,1.174007254,1.250436276,1.287574012,1.192273007,1.457589161,1.39314886,1.422750404
