Participant,60% MAS - 0% LOAD,60% MAS - 10% LOAD,60% MAS - 20% LOAD,80% MAS - 0% LOAD,80% MAS - 10% LOAD,80% MAS - 20% LOAD,100% MAS - 0% LOAD,100% MAS - 10% LOAD,100% MAS - 20% LOAD
1,5.464349868,4.92023336,4.84339239,6.337670491,4.926856653,4.706170604,6.426013942,5.605858336,5.05479741
2,4.745742511,4.2564452,4.127642836,7.607348906,7.70194755,6.030949399,11.49804269,10.81088878,9.239726659
3,4.557514265,3.717286198,3.58816493,3.811626737,3.564863823,3.838728613,5.171873891,5.476627368,4.711310115
4,4.568630076,4.470783604,3.913465535,6.071214396,6.534186613,5.501020109,7.241904574,6.372688975,5.669903341
5,4.60837679,4.452370057,4.032690591,7.431684767,5.947657465,6.816608169,8.284917803,7.16691183,6.487290864
6,6.124130048,6.668924424,4.998764715,4.316821,5.323151712,4.94093573,7.196991028,6.868313634,6.588502163
7,6.546637729,6.509663256,6.06860681,7.374989393,6.458311591,7.641150626,9.716020613,8.091601679,6.966126041
8,16.63012543,30.90210025,12.50086196,14.06689451,13.13976833,8.654676201,19.91206365,11.32292896,18.11318692
9,8.651368565,7.285047192,6.978890103,9.530173693,5.999263817,4.871114633,8.346198616,7.135455581,6.062391578
10,5.768883043,4.441416009,3.366633104,6.5721275,4.728491614,4.030001428,7.006412539,5.638997276,5.26173098
11,5.899841537,4.958428283,3.51397745,6.011609337,4.854029855,5.28320382,7.17380564,3.968327221,5.3341165
12,7.194187813,5.042451201,5.812884634,5.691276229,5.064601863,5.071237673,6.117624386,5.451786832,5.298525043
13,6.686428424,5.676360338,5.5065406,5.736236233,5.202120614,4.195669312,5.129390623,4.561150323,4.665984344
14,5.529596152,3.443625696,2.83784684,4.692210658,3.773339275,3.538696264,6.66516319,3.27075814,4.698534637
15,5.85054939,5.392200271,4.217095153,4.199542739,3.969591998,3.704704208,5.477245426,4.747172594,4.503169957
16,5.374116431,4.162251926,5.433618825,5.044290776,6.660807994,4.348604636,6.273987438,6.14534061,6.053781841
17,5.805879681,6.244139689,5.129544904,10.7534375,8.81042705,6.180226597,15.43331221,9.284165559,5.420904162
18,6.057150054,4.873293064,5.627685009,4.53516531,4.500199308,4.700990464,5.63794579,4.694877406,4.111771044
19,6.916787505,5.782223531,6.220895833,7.602457329,6.242857246,5.588961078,6.482860205,7.00061671,5.91260466
20,8.013740474,6.296351872,5.349177116,6.785161644,6.266801104,5.598150391,7.354630879,6.931465109,6.568989587
21,5.039713408,5.911239147,5.217731742,4.269671871,5.137412063,4.496349388,4.850098563,4.423721728,5.229128772
22,5.528105447,4.469508118,4.912604505,5.763895564,5.334818683,5.014573798,6.198845844,5.713060473,4.787123945
23,6.360099799,5.328859761,3.969652426,6.163430617,6.071234465,4.918879764,7.463770728,4.637893397,6.597132886
24,7.69599018,6.403966797,5.238181506,5.969767892,5.692169825,4.39875355,6.453713912,6.568143609,4.971201265
25,5.571401172,4.627082602,5.001192235,5.277535403,4.55464579,4.329346132,5.57783112,5.264270312,4.658042027
26,6.596343233,6.699360973,5.364701842,4.330775134,5.232560351,4.773533003,6.949945666,6.518461906,6.18046321
