Participant,60% MAS - 0% LOAD,60% MAS - 10% LOAD,60% MAS - 20% LOAD,80% MAS - 0% LOAD,80% MAS - 10% LOAD,80% MAS - 20% LOAD,100% MAS - 0% LOAD,100% MAS - 10% LOAD,100% MAS - 20% LOAD
1,0.92,0.96,0.94,1.18,1.15,1.13,1.38,1.35,1.33
2,1.01,1.02,1.04,1.23,0.94,1.18,1.42,1.43,1.46
3,1.01,1.05,1.02,1.3,1.24,1.24,1.43,1.53,1.44
4,1.17,1.18,1.17,1.5,1.4,1.46,1.64,1.63,1.57
5,1.04,1.1,1.14,1.38,1.35,1.39,1.49,1.49,1.55
6,0.89,0.85,0.89,0.88,1.09,1.05,1.28,1.24,1.27
7,0.96,0.98,0.97,1.26,1.21,1.17,1.48,1.45,1.39
8,1.05,1.01,1.01,1.26,1.23,1.25,1.56,1.46,1.55
9,0.91,0.92,0.91,1.18,1.14,1.13,1.36,1.33,1.35
10,0.91,0.94,0.97,1.16,1.22,1.15,1.36,1.36,1.34
11,1.09,1.01,1.01,1.37,1.34,1.4,1.61,1.64,1.56
12,0.97,0.99,1.01,1.2,1.33,1.29,1.42,1.39,1.35
13,0.84,0.87,0.86,1.1,1.09,1.1,1.26,1.25,1.22
14,1.11,1.04,1.04,1.39,1.37,1.42,1.46,1.66,1.58
15,0.97,0.93,0.9,1.18,1.18,1.18,1.39,1.38,1.33
16,0.91,0.83,0.84,1.05,1.02,1.13,1.39,1.33,1.29
17,1.06,1.07,1.14,1.33,1.33,1.35,1.57,1.54,1.6
18,0.94,0.87,0.92,1.18,1.19,1.11,1.36,1.36,1.38
19,0.94,0.94,0.9,1.13,1.11,1.12,1.35,1.34,1.35
20,1.05,0.99,1.01,1.32,1.24,1.21,1.42,1.45,1.42
21,0.77,0.78,0.78,1.08,1.03,1.04,1.22,1.21,1.15
22,0.96,0.89,0.91,1.18,1.11,1.09,1.2,1.16,1.28
23,1.12,1.15,1.12,1.49,1.45,1.48,1.74,1.65,1.65
24,0.95,0.89,0.95,1.14,1.09,1.1,1.23,1.35,1.22
25,1,0.92,0.91,1.22,1.16,1.12,1.4,1.39,1.33
26,0.92,0.89,0.93,0.93,1.12,1.05,1.34,1.29,1.32
