Participant,60% MAS - 0% LOAD,60% MAS - 10% LOAD,60% MAS - 20% LOAD,80% MAS - 0% LOAD,80% MAS - 10% LOAD,80% MAS - 20% LOAD,100% MAS - 0% LOAD,100% MAS - 10% LOAD,100% MAS - 20% LOAD
1,8.917057385,8.052877106,7.926091941,13.59201457,10.6417712,10.17860803,18.14794455,15.92585637,14.41814602
2,7.843960694,7.057279638,6.848722803,16.44913035,16.64350231,13.12217016,32.27618282,30.40269172,26.17167618
3,8.683000095,7.121749958,6.874529969,10.19469356,9.539971515,10.23741457,18.62363529,19.73305802,17.062102
4,9.527828909,9.342106082,8.223497147,17.97912124,19.20184325,16.35360149,29.48571975,26.19253894,23.42314833
5,8.971473732,8.683364525,7.899227065,19.95757912,16.10887217,18.37282705,30.2731513,26.37616575,24.05919571
6,11.38724676,12.37286843,9.331311044,11.23745305,13.69484998,12.71759239,24.8634079,23.7433032,22.86043035
7,11.42212991,11.36222473,10.6119688,17.31989311,15.20558947,17.8586682,30.22879513,25.30875586,21.90092618
8,28.62919085,52.90378396,21.51075927,32.30107059,30.14539876,20.11738919,60.32422015,34.73428942,54.88302776
9,14.54125738,12.27179563,11.76047754,21.22530559,13.51233859,11.04942685,24.6845725,21.2142132,18.14423872
10,10.12917187,7.843097672,5.992464494,15.56293856,11.33606976,9.702979759,22.19412223,18.0477914,16.89585179
11,10.86084469,9.148992414,6.531600758,15.18559183,12.34320729,13.39395671,24.40289368,14.08381409,18.37136524
12,12.54956174,8.857578137,10.17540628,13.46611367,12.0521137,12.07233933,19.38238719,17.36628393,16.87856462
13,10.82633857,9.211697849,8.942727913,12.24486834,11.13150418,9.063717407,14.48389391,12.95389681,13.22832425
14,10.94525067,6.931072703,5.750856077,13.23189148,10.7779865,10.17947671,25.54778242,13.55462942,18.39708215
15,9.535570945,8.812503608,6.92341365,9.14351318,8.665749328,8.113027976,15.59978001,13.62696179,12.94334
16,8.444362126,6.560936724,8.528613795,10.26409314,13.47391074,8.890035517,16.49953986,16.17917452,15.93254111
17,11.22442268,12.04617816,9.966710589,28.45214351,23.47294772,16.73384837,55.01221112,33.77895557,20.78507339
18,10.03388635,8.105878346,9.329128161,10.07703182,10.0070309,10.42568511,16.53077161,13.89450362,12.28483863
19,11.18215928,9.3685802,10.06379471,16.07558261,13.27253281,11.93008192,18.14392214,19.51074589,16.62163859
20,13.25257506,10.44520948,8.90056586,14.907357,13.78959357,12.35703381,21.27746247,20.12385333,19.10174215
21,7.720225161,9.034353764,7.988335017,8.444509921,10.09838953,8.876852655,12.35678296,11.31201118,13.24873189
22,10.23136972,8.320198676,9.11686538,14.68044562,13.5831113,12.82114276,21.35402736,19.7606228,16.63010717
23,13.81954637,11.63758717,8.754188786,19.40895303,19.13056926,15.6643593,32.68265441,21.19738608,29.05308082
24,12.20570119,10.17761177,8.344578157,12.38017025,11.79345262,9.194605732,17.36118337,17.71921971,13.50297537
25,10.12536064,8.447561558,9.108485077,13.18621302,11.42407009,10.89744047,18.84020851,17.80622495,15.80124891
26,12.03332551,12.21364631,9.821398317,11.0175872,13.18338176,12.03763836,23.43876855,22.01120982,20.97373375
